,x
1, cen
2,NA
3, Nin
4,SST 
5,25.1
6,25.2
7,25.3
8,25.5
9,25.8
10,26.1
11,26.4
12,26.7
13,26.7
14,26.7
15,26.9
16,27.2
17,27.5
18,27.6
19,27.6
20,27.7
21,27.8
22,27.6
23,27.5
24,27.4
25,27.2
26,27.1
27,26.7
28,26.6
29,26.4
30,26.0
31,25.8
32,25.4
33,25.7
34,25.1
35,25.1
36,25.2
37,25.1
38,24.9
39,25.0
40,24.9
41,24.7
42,24.9
43,24.8
44,25.1
45,24.9
46,24.9
47,24.9
48,24.7
49,25.0
50,24.8
51,24.6
52,24.8
53,25.2
54,25.0
55,24.9
56,25.3
57,25.3
58,25.4
59,25.7
60,25.8
61,26.0
62,26.1
63,26.3
64,26.3
65,26.5
66,26.6
67,27.0
68,27.1
69,27.4
70,27.3
71,27.0
72,27.5
73,27.4
74,27.6
75,27.5
76,27.5
77,27.7
78,27.6
79,27.5
80,27.4
81,27.2
82,27.3
83,27.0
84,26.8
85,26.6
86,26.2
87,26.1
88,25.6
89,25.4
90,25.4
91,25.2
92,25.1
93,24.7
94,25.1
95,25.2
96,25.3
97,25.6
98,25.5
99,25.7
100,25.9
101,25.8
102,25.9
103,26.1
104,26.1
105,26.2
106,26.5
107,26.6
108,26.7
109,26.7
110,26.8
111,26.9
112,27.1
113,27.4
114,27.5
115,27.6
116,27.8
117,27.9
118,27.9
119,28.1
120,28.5
121,28.7
122,28.7
123,28.8
124,28.8
125,28.6
126,28.8
127,28.8
128,28.6
129,28.2
130,28.1
131,27.5
132,26.8
133,26.6
134,26.2
135,25.8
136,26.2
137,25.7
138,25.1
139,24.9
140,24.6
141,24.9
142,24.6
143,24.8
144,24.4
145,24.4
146,24.5
147,24.6
148,24.7
149,24.5
150,24.6
151,24.6
152,24.8
153,24.7
154,24.8
155,24.7
156,24.9
157,24.9
158,25.1
159,24.9
160,25.1
161,25.1
162,25.4
163,25.6
164,25.5
165,25.8
166,26.3
167,26.4
168,26.9
169,26.7
170,26.9
171,27.3
172,27.5
173,28.0
174,28.3
175,28.4
176,28.5
177,28.4
178,28.5
179,28.5
180,28.3
181,28.1
182,27.9
183,27.7
184,27.2
185,27.1
186,26.9
187,26.7
188,26.1
189,25.8
190,25.6
191,25.3
192,25.0
193,25.0
194,24.8
195,24.9
196,24.9
197,25.0
198,24.9
199,25.0
200,25.1
201,25.2
202,25.3
203,25.0
204,25.3
205,25.4
206,25.1
207,25.1
208,25.1
209,25.3
210,25.3
211,25.3
212,25.3
213,25.4
214,25.7
215,25.7
216,25.7
217,25.8
218,25.9
219,26.2
220,26.1
221,25.9
222,26.6
223,27.0
224,27.0
225,26.8
226,27.0
227,27.0
228,27.2
229,27.0
230,27.1
231,27.0
232,26.8
233,27.2
234,26.9
235,26.9
236,26.7
237,26.8
238,26.2
239,25.9
240,25.6
241,25.2
242,25.1
243,24.8
244,24.5
245,24.8
246,24.8
247,24.8
248,24.7
249,24.6
250,24.6
251,24.9
252,25.2
253,25.4
254,25.6
255,25.6
256,25.6
257,25.7
258,26.0
259,25.8
260,25.9
261,26.0
262,26.0
263,25.9
264,26.2
265,26.3
266,26.1
267,26.2
268,26.4
269,26.5
270,26.7
271,26.9
272,26.8
273,26.9
274,26.9
275,26.7
276,27.1
277,27.2
278,27.4
279,27.2
280,27.3
281,27.3
282,26.6
283,26.6
284,26.3
285,26.2
286,26.4
